Word                     Frequency
long-term                5
longer                   5
longest-observed         1
longstanding             1
look                     12
looked                   2
looking                  5
looks                    5
los                      4
lose                     1
loss                     6
loss-of-function         1
losses                   2
lost                     6
lot                      4
louis                    1
lounge                   1
love                     1
low                      4
lower                    7
lt                       1
lte                      1
lulzsec                  3
luminous                 1
lumpy                    1
lunchtime                1
lung                     1
m                        1
m.d                      2
macaques                 1
macbook                  1
machinery                1
madden                   1
maddens                  1
made                     7
magellan                 1
magic                    1
magistrate               1
magnetic                 4
magnetism                2
main                     1
maintained               1
maintaining              1
maintains                1
maintenance              2
major                    4
majority                 1
make                     14
makes                    5
making                   2
mammals                  1
mammoth                  1
mammoths                 1
managed                  1
management               4
manager                  2
managing                 2
manipulate               1
manipulation             1
manufacturers            1
manufacturing            1
many                     15
marc                     1
march                    4
marilyn                  1
marine                   1
marisa                   1
mark                     1
marked                   1
markedly                 1
market                   7
marketing                1
marketplace              1
markets                  2
marks                    1
marquee                  1
mars                     10
marshal                  1
marshals                 1
martian                  2
mascola                  1
mass                     21
mass-spectrometric       1
masses                   1
massive                  2
master                   1
match                    3
mated                    1
mateo                    1
material                 11
materialized             1
matter                   2
matters                  1
matthew                  1
maturation               1
mature                   1
mauna                    2
maxi                     2
may                      29
maybe                    1
mccullagh                1
mcmaster                 3
mcmasters                2
md                       2
me                       2
me:                      1
mean                     2
means                    5
meant                    1
meanwhile                1
measured                 1
measurement              1
measurements             4
measuring                1
mechanism                4
mechanistic              1
medal                    1
media                    1
medias                   1
medical                  6
medicine                 8
meet                     3
meetings                 1
melting                  3
member                   2
members                  7
membership               1
memory                   1
men                      2
mending                  1
mental                   1
mention                  1
mercedes                 1
mere                     1
merge                    3
merged                   2
merger                   10
mergers                  2
mernild                  1
met                      1
metabolic                3
metabolism               1
metagenomics             1
meteorologists           2
meters                   1
methane                  1
method                   4
methods                  2
metres                   7
mg                       1
miami                    1
michael                  4
michigan                 1
micro-g                  6
microbes                 3
microbial                3
microgravity             4
microorganisms           2
microscope               1
microscopic              1
microsoft                9
microsofts               1
microsystems             1
middle                   1
middle-aged              1
might                    12
mild                     2
miles                    5
military                 1
milky                    2
milling                  1
million                  10
millions                 2
mimic                    1
mind                     1
minded                   1
minerals                 2
minimal                  1
minor                    4
minutes                  1
miracle                  1
miscarriages             2
misdemeanor              2
mismatch                 1
missed                   2
missing                  3
mission                  6
missions                 5
missouri                 2
mit                      1
mittivakkat              8
mix                      1
mmmm                     1
mobile                   7
mobility                 1
mode                     1
model                    14
models                   4
modems                   1
moderate                 1
modern                   5
modified                 2
modifying                1
modular                  1
module                   1
molecular                7
molecule                 1
molecules                8
momentum                 2
money                    2
monitor                  4
monitoring               2
monopoly                 1
monterey                 1
month                    4
months                   3
moon                     1
more                     41
morse                    1
most                     25
mostly                   2
motion                   2
motions                  1
motorola                 4
mouse                    1
move                     1
moved                    3
movies                   6
much                     26
multiple                 5
museum                   2
must                     5
mutations                1
my                       3
mysteries                1
mysterious               1
mystery                  1
mysticetes               1
n.m                      2
n.y.                     1
name                     3
named                    6
namely                   1
names                    1
nanoracks                3
nanotubes                1
narrow                   1
nasa                     11
nasal                    1
nasas                    22
national                 14
natural                  14
naturally                1
nature                   8
navigate                 1
navigation               1
ncar                     1
near                     8
nearby                   1
nearest                  2
nearly                   2
necessarily              2
necessary                2
necessity                1
need                     11
needed                   2
needs                    1
negative                 3
negatively               2
negotiating              1
neighborhood             3
neighbors                1
neither                  1
nelson                   1
netherlands              1
network                  4
networked                1
networks                 2
neuropsychiatric         1
neurotransmitters        1
neutralizing             3
nevada                   1
never                    1
never-before-seen        1
new                      52
newer                    1
newest                   1
newly                    3
news                     4
next                     19
nextel                   1
ngc                      7
niaid                    1
niels                    1
nine                     3
nintendo                 1
no                       18
no-name                  1
noaa                     2
noble                    1
non-                     1
non-action               1
non-living               2
non-protein-coding       3
nor                      2
noradrenaline            2
normal                   4
norman                   1
north                    1
northern                 1
noses                    1
not                      75
note                     1
noted                    4
notes                    2
nothing                  1
notice                   1
noticeably               1
novel                    2
november                 3
now                      23
npd                      1
npds                     1
npp                      15
npps                     1
nucleases                1
number                   10
numbers                  2
numerous                 3
nylon                    2
objected                 1
objective                2
objectives               1
objects                  5
obscured                 1
obscuring                1
observable               1
observation              2
observations             18
observatories            1
observatory              6
observatorys             1
observe                  5
observed                 5
observing                2
obstetrics               1
obtained                 4
obvious                  1
obviously                1
occlusion                2
occur                    2
occurred                 1
occurring                2
occurs                   1
ocean                    11
oceanic                  1
oceanographic            1
oceans                   4
oct                      2
october                  3
odontocetes              1
odyssey                  5
of                       595
off                      7
off-axis                 1
off-the-shelf            1
offer                    3
offered                  3
offering                 1
offerings                1
offers                   1
office                   5
officer                  1
official                 2
officially               1
officials                3
often                    4
oftentimes               1
ohri                     3
old                      2
on                       136
on-demand                1
onboard                  1
once                     6
oncolytic                2
one                      38
one-eye                  1
ones                     1
ongoing                  1
online                   6
only                     27
onset                    2
onto                     2
open                     3
open-source              1
opened                   1
opening                  1
openings                 1
operability              1
operable                 1
operate                  6
operated                 2
operates                 2
operating                9
operational              4
operations               2
operators                1
opportunity              15
opportunitys             1
opposed                  1
opposite                 2
oppositely               1
optical                  2
option                   3
options                  2
optometric               1
optometrist              1
optometrists             1
optometry                1
or                       57
oracle                   3
orbit                    5
orbital                  3
orbited                  1
orbiters                 1
orbits                   1
orbs                     1
order                    1
organic                  1
organisms                3
organization             1
organizations            2
organize                 3
organized                3
organs                   1
original                 1
os                       2
other                    46
others                   5
ottawa                   4
our                      43
ourselves                1
out                      32
outages                  1
outbreaks                1
outburst                 1
outcomes                 1
outcrops                 1
outer                    11
outflow                  2
outflows                 1
outgoing                 1
outlines                 1
outside                  2
outstanding              1
oven                     1
over                     23
over-hype                1
overactive               1
overall                  2
overcome                 1
overland                 1
overlay                  1
owls                     1
own                      5
owned                    2
owner                    1
owners                   1
oxygen                   1
p53                      2
pacific                  1
package                  3
pad                      2
painstaking              1
paint                    1
painted                  1
pair                     11
pairs                    2
paleontology             3
palomar                  1
pang                     1
pano                     2
panoramic                1
paper                    9
parameters               1
parent                   1
park                     1
parrella                 3
part                     12
participants             5
participate              1
participated             2
participation            2
particles                1
particular               4
particularly             3
partner                  1
partnership              1
parts                    3
pasadena                 5
passengers               1
past                     7
patch                    2
patches                  3
patent                   9
patents                  15
path                     1
pathogens                1
pathology                1
pathway                  7
pathways                 4
patients                 10
patrick                  1
patterns                 3
paul                     1
pause                    1
pay                      1
payload                  2
paypal                   2
pc                       1
pcs                      2
pdt                      10
peak                     2
peculiarities:           1
peek                     1
pending                  1
penetrate                1
penetrates               2
penn                     11
penns                    1
people                   12
pepi                     1
peptic                   1
per                      4
percent                  18
percentage               2
perception               1
perfect                  1
perform                  2
performance              12
performed                7
performs                 2
perhaps                  1
period                   2
periods                  1
permafrost               3
permission               2
persistent               1
person                   4
peter                    1
ph.d                     1
phase                    4
phd                      1
phenomena                1
phenomenon               3
phil                     1
philip                   1
phone                    21
phone-related            1
phones                   13
photograph               1
photographic             1
photos                   4
photosynthesis           1
physical                 1
physics                  3
physiology               1
picture                  2
piece                    4
pieced                   1
pilot                    2
pinging                  1
pinpoint                 1
pioneers                 1
place                    6
placed                   1
placement                1
places                   1
plagued                  1
plan                     4
planet                   6
planet-sized             1
planetary                1
planets                  2
planned                  5
planning                 3
plans                    4
plants                   1
plasma                   2
plateau                  1
platform                 2
plausible                1
play                     4
playbook                 1
played                   1
player                   2
players                  1
playing                  4
plays                    1
plea                     1
plead                    1
pleaded                  1
pleistocene              1
plos                     2
pm                       13
poh-choo                 1
poinar                   2
point                    5
point-to-point           1
pointed                  2
points                   2
polar                    2
polar-orbiting           2
polarity                 1
police                   10
policies                 1
pollution                1
poor                     2
popular                  1
population               1
populations              1
portfolios               1
portion                  1
posited                  1
position                 4
positions                1
positive                 3
possess                  1
possibilities            1
possibility              1
possible                 9
possibly                 3
post                     3
post-doctoral            1
postdoctoral             2
potential                3
potentially              1
pound                    2
powell                   1
powells                  1
power                    6
powerful                 4
powerhouse               1
powering                 1
practical                2
practice                 1
pre-trial                1
precipitation            1
precisely                4
preclude                 1
precursor                1
predates                 1
predators                1
predatory                1
predecessors             1
predict                  3
predicted                2
predicting               1
prediction               2
predictions              1
predicts                 1
predominant              1
prefer                   1
preferentially           1
prelaunch                1
preliminary              2
prelude                  1
premature                1
preparation              1
preparations             1
preparatory              1
preparing                1
presence                 2
present                  5
presentation             1
presentations            1
preserved                1
preside                  1
pressing                 1
pressure                 2
pretty                   1
prevented                2
prevention               1
previous                 3
previously               10
prey                     1
price                    5
prices                   2
pricing                  1
primarily                2
primary                  1
primates                 2
prime                    3
principal                5
prior                    2
priority                 1
pristine                 1
private                  1
probably                 2
problem                  10
problems                 4
procedure                1
proceedings              1
process                  8
processes                1
processing               3
produce                  5
produced                 2
producing                1
product                  1
production               1
productivity             1
products                 2
prof                     1
professor                14
profile                  1
program                  5
programme                2
progress                 1
prohibited               2
project                  6
projects                 1
promise                  2
promises                 2
promising                2
promote                  1
proof-of-concept         1
propellant               1
properly                 3
properties               2
property                 4
proposal                 2
proposed                 3
propulsion               2
prosecute                1
prosecutor               1
prosecutors              2
prospect                 1
prosperous               1
prostate                 1
protect                  1
protective               1
protein                  7
protein-coding           1
proteins                 9
protester                1
protests                 1
protostar                1
prototype                3
proves                   1
provide                  7
provided                 3
provides                 4
providing                4
proving                  1
proxima                  1
public                   3
publication              1
publicly                 2
published                9
pull                     1
pulled                   1
pulse                    1
pundit                   1
purchase                 3
pure                     1
purified                 1
purkey                   2
purposes                 1
pursuing                 1
push                     1
put                      3
putative                 1
putting                  2
puzzling                 1
quality                  5
quantity                 1
quarter                  7
quest                    1
question                 2
question:                1
questions                3
quickly                  1
quipped                  1
quite                    1
radiation                2
radiation-induced        1
radically                1
radio                    8
radio-emitting           1
radiofrequency           1
radiology                1
radiometer               1
ragged                   1
raise                    1
raises                   2
ramunas                  2
ran                      1
randomly                 1
range                    8
ranking                  1
rapid                    3
rapid-fire               1
rapidly                  2
rare                     1
rarely                   1
rate                     2
rates                    2
rather                   3
ray                      1
re-connect               1
re37802                  1
reach                    3
reaching                 1
react                    2
reactions                2
read                     1
reading                  1
ready                    2
real                     7
real-world               2
realized                 2
really                   5
rearrangement            1
reason                   2
reason:                  1
reasons                  5
received                 2
receives                 1
receiving                2
recent                   8
recently                 2
receptors                7
recession                4
recognise                1
recognises               2
recognized               1
record                   9
record-breaking          1
recording                1
records                  1
recreated                1
recruit                  2
red                      1
redmondians              1
reduce                   3
reduction                1
reductions               1
redwood                  2
reed                     1
reference                1
referred                 2
refinements              1
regardless               2
regimes                  2
region                   6
regional                 2
regions                  2
regular                  1
regulators               1
regulatory               1
rein                     1
rejected                 1
relate                   1
related                  5
relates                  2
relation                 1
relationship             1
relatively               1
relativistic             1
relay                    1
release                  2
released                 4
relevant                 1
reliability              1
reliable                 2
reliably                 1
rely                     2
remain                   1
remaining                1
remains                  1
remarkable               1
remarkably               2
remember                 1
remnant                  1
remorse                  1
remote                   1
remove                   1
removed                  1
renewable                1
renowned                 1
reorient                 1
repair                   5
repeat                   1
repeated                 2
repeatedly               2
replace                  1
replicate                2
replication              1
report                   10
reported                 6
reportedly               1
reporters                1
reports                  4
represent                1
representative           1
representatives          1
represents               1
reproduce                1
reproduction             1
reproductive-aged        1
reputation               1
request                  1
requests                 1
require                  3
required                 1
requirements             1
research                 39
researcher               1
researchers              27
researching              1
resident                 1
resistance               10
resistance:              1
resistant                2
resolution               1
resource                 1
resources                3
respectively             1
respond                  4
responded                1
responders               1
response                 9
responses                1
responsible              3
rest                     2
restricted               1
result                   8
resulted                 1
resulting                1
results                  17
retardation              1
retreat                  1
retreated                1
retreats                 1
retribution              2
return                   4
returns                  1
reusable                 2
reuse                    1
reuters                  5
reveal                   3
revealed                 2
revealed:                1
revenue                  1
revenues                 3
reversed                 1
review                   1
reviewing                1
revised                  1
revived                  1
revolutionary            1
reward                   1
rf                       1
rhesus                   1
rice                     1
ridge                    1
ridges                   1
right                    7
rigorous                 1
rim                      6
rims                     1
ripped                   1
risaliti                 1
rise                     1
rishikof                 7
risk                     1
risks                    1
river                    2
rna                      4
roadblocks               1
roaming                  1
roaring                  1
robert                   2
robot                    1
robotic                  1
rock                     6
rocket                   2
rocks                    2
roger                    1
role                     3
roles                    2
ron                      1
room                     3
rooms                    1
ross                     1
round                    1
roundup                  1
routers                  1
routine                  1
routinely                1
rove                     1
rover                    7
rovers                   5
rubber                   4
rubbing                  2
rumor                    1
rumors                   1
run                      5
running                  1
runs                     1
runway                   3
rustling                 2
safe                     2
safer                    1
safety                   1
sage                     1
said                     88
said:                    1
sailing                  2
sale                     1
salesforce               1
salesforce.coms          1
salesforces              1
salmon                   10
same                     15
sample                   1
samsung                  1
san                      15
sandoval                 1
sarrel                   1
sat                      1
satellite                13
satellites               6
savings                  2
saw                      2
say                      9
saying                   6
says                     8
scanned                  1
scanning                 1
scans                    1
scenario                 2
scenarios                2
schedule                 1
scheduled                3
scherrer                 1
schmidt                  21
schmidts                 1
school                   8
schools                  1
schwer                   1
science                  17
sciences                 6
scientific               4
scientist                3
scientists               19
scope                    1
scores                   1
screen                   1
scripps                  3
sczyrba                  1
sdo                      2
search                   8
season                   1
sebastian                1
second                   10
seconds                  1
secret                   2
section                  1
sector                   2
security                 2
sedimentary              1
sediments                1
see                      12
seeing                   2
seeking                  1
seem                     2
seems                    1
seen                     11
segal                    1
segments                 1
seigler                  1
seis                     1
seismic                  1
select                   1
selected                 5
selectively              4
sell                     2
selling                  1
send                     1
sending                  2
senior                   5
sense                    4
sensitive                3
sensor                   2
sensory                  1
separate                 3
separated                2
separating               1
sept                     1
september                16
sequence                 3
sequenced                1
sequencing               1
sergeant                 1
sergio                   1
series                   3
serious                  2
serpent-like             1
servers                  1
serves                   1
service                  2
services                 3
servicing                1
sessions                 1
set                      2
sets                     1
setting                  2
settlement               1
seven                    3
seventh                  2
several                  9
severe                   1
sex                      2
sf                       2
share                    4
shareholders             2
sharpness                1
she                      10
sheet                    1
sheffield                2
sheffields               1
shell                    1
shining                  1
shipping                 1
shoot                    1
shooter                  2
shopping                 2
short                    1
short-lived              1
short-term               1
shorts                   1
should                   7
show                     12
showed                   10
showing                  3
shown                    4
shows                    5
shredded                 1
shrewd                   1
shrinking                1
shrouds                  1
shut                     1
shuttle                  1
sialyl-lewis-x           1
side                     3
siegler                  1
sierra                   1
signal                   5
signaling                2
signals                  4
signatures               2
signed                   1
significant              6
significantly            5
signify                  1
signs                    2
silence                  2
silencing                4
silicon                  1
simcity                  1
similar                  10
similarities             1
simple                   1
simply                   3
simulate                 1
simulated                1
simulation               1
simulations              2
simultaneously           1
since                    12
single                   7
single-cell              2
single-celled            1
sinica                   1
site                     5
sites                    4
six                      9
size                     5
sizeable                 1
skewed                   1
skippen                  3
skull                    7
skulls                   13
sky                      3
slamming                 1
slams                    1
slex                     8
slex-like                1
slightly                 1
slow-moving              1
slows                    1
small                    10
small-business           1
smaller                  5
smallpox                 1
smartphone               8
smartphones              9
smoke                    1
smooth                   1
sniffen                  6
snout                    1
snowfall                 1
so                       35
social                   2
socializing              1
societies                1
socorro                  1
software                 4
soho                     2
soil                     1
solar                    10
sold                     2
solely                   1
solid                    2
solve                    2
solved                   1
some                     20
someday                  1
someone                  4
something                3
sometimes                3
sonar                    1
sony                     2
sonys                    1
soon                     2
sophisticated            1
sort                     2
sorts                    1
sound                    6
sounds                   6
source                   9
sources                  5
south                    1
space                    59
space-based              1
space-going              1
space-worthy             1
spacecraft               9
spacelab                 4
spain                    1
spark                    1
spawn                    2
spawning                 1
speaking                 1
specially                1
specific                 6
specifically             2
spectra                  1
spectral                 1
spectrometry             1
spectrum                 1
speed                    3
speeds                   2
speedy                   1
spell                    1
spend                    2
spending                 1
spent                    2
sperm                    12
sperm-binding            1
sperm-egg                1
sperms                   1
spheres                  1
spin                     1
spiral                   6
spirals                  1
spirit                   2
spitzer                  1
split                    2
spoke                    1
spokesman                2
sporadically             1
spot                     4
spots                    2
spread                   2
spreading                1
spring-run               1
sprint                   2
sprints                  1
spur                     1
squyres                  1
st                       1
stabilization            1
staff                    1
stage                    8
stages                   3
standard                 3
standards                3
stands                   1
stanford                 3
stanley                  1
star                     18
star-formation           1
star-like                1
stared                   1
stars                    10
stars08.23.11            1
stars08.31.11            1
start                    4
started                  3
starting                 1
state                    6
state-of-the-art         1
statement                5
stathis                  1
static                   5
stating                  3
station                  20
stations                 1
stays                    1
steadily                 1
steady                   1
stellar                  2
stemming                 1
step                     4
stepanauskas             3
steve                    5
sticky                   2
stifling                 1
still                    18
stimulate                1
stimulated               1
stimulates               2
stinging                 1
stitch                   1
stockholm                1
stood                    1
stop                     3
store                    1
stored                   1
storing                  1
storm                    1
storms                   1
straight                 2
straightened             1
strain                   2
strange                  1
strategies               3
stream                   4
streaming                3
streams                  4
street                   1
strength                 3
stress                   12
stress-related           3
stress-response          1
stretches                1
strikes                  1
strikingly               1
strong                   3
strongly                 2
structure                6
structured               1
structures               3
sts-135                  2
student                  2
students                 15
studied                  3
studies                  10
study                    46
studying                 5
sub-fertility            2
submarine                1
submerged                2
subsequent               1
subsequently             1
subway                   1
success                  4
successful               4
successfully             2
such                     18
sucked                   1
suddenly                 2
sued                     2
sues                     1
suffering                1
sugar                    6
sugar-depleted           1
sugars                   8
suggest                  5
suggested                2
suggesting               1
suggests                 1
suing                    1
suit                     4
suitable                 1
suite                    3
sulfate-rich             1
summer                   4
summers                  1
sun                      13
sun-like                 1
sunlight                 1
suns                     7
sunspot                  8
sunspots                 12
supermassive             10
supersized               1
supersonic               2
supplement               1
supplies                 1
support                  4
supported                1
supporters               1
supporting               2
suppressor               1
sure                     3
surely                   1
surface                  13
surfaced                 1
surfaces                 1
surfacing                1
surge                    1
surprise                 3
surprised                3
surreal                  1
surrounding              3
surroundings             1
survey                   4
surveyed                 1
survive                  3
survived                 2
susceptible              1
sustained                2
sven                     2
swallow                  1
sweet                    1
swift                    10
swifts                   1
swirl                    1
swirling                 1
swirls                   1
switch                   1
symmetrical              5
symmetry                 1
symptoms                 2
synchronized             1
synthesised              1
system                   20
systematic               1
systems                  8
t-mobile                 3
t-mobiles                3
tab                      1
tablet                   11
tablets                  3
tabs                     1
tag                      1
taiwan                   2
take                     6
taken                    4
takes                    2
taking                   4
tale                     1
talking                  1
talks                    3
tangible                 1
tanja                    1
tape                     1
target                   8
targeted                 2
targeting                4
targets                  3
task                     2
tasks                    1
teachers                 1
teaching                 1
team                     24
teams                    2
tease                    1
tech                     3
techcrunch               1
techcrunchs              1
technical                1
technicians              1
technique                4
techniques               2
technologies             3
technology               7
teeth                    1
telekom                  1
telephone                1
telescope                9
telescopes               3
tell                     1
telltale                 1
temperature              5
temperatures             5
tennis                   1
tequila                  1
termed                   1
terminus                 2
terms                    4
terrestrial              1
territories              1
test                     10
tested                   4
testing                  5
tests                    5
texas                    4
than                     42
thank                    2
thanks                   1
that                     285
thats                    5
the                      1234
theft                    1
their                    50
them                     23
then                     11
theoretical              1
theories                 1
therapies                3
therapy                  11
there                    26
therefore                5
theres                   4
these                    57
thesis                   1
they                     81
theyve                   1
thick                    1
thin                     1
thing                    3
things                   8
think                    8
thinking                 2
third                    1
thirty                   1
this                     109
thompson                 7
those                    30
though                   6
thought                  4
thousand                 1
thousands                1
threats                  1
three                    8
three-axis               2
three-dimensional        2
three-month              1
three-year               1
thrilling                1
through                  14
throughout               4
throwing                 1
thrown                   1
thus                     5
ticker                   1
ticket                   1
tidal                    1
tidally                  1
tide                     1
tides                    1
time                     29
time-distance            1
time-lapse               2
time-limited             1
times                    8
timescales               1
tiny                     2
tisdale                  3
tissue                   1
tissues                  2
to                       522
today                    8
todays                   1
together                 9
told                     11
tolerated                1
toll-free                1
tomorrow                 1
tons                     1
too                      8
took                     4
tool                     1
tools                    1
tooth                    1
toothed                  5
top                      3
topic                    1
topics                   1
tor                      1
tornado                  1
torsion                  1
total                    4
touched                  2
touchpad                 2
touchpads                1
tourism                  2
touting                  1
toward                   9
towards                  4
tower                    1
towers                   1
trace                    1
traced                   3
track                    4
tracker                  1
tracking                 1
trademark                1
traditional              1
traits                   1
transceivers             1
transcribed              2
transcript               1
transfer                 2
transferred              1
transform                1
transformed              1
translational            1
transmit                 1
transparent              1
transport                2
transportation           1
trapping                 1
travel                   3
traveling                2
traverses                1
treat                    1
treated                  2
treating                 1
treatment                2
treatments               3
tree                     1
trend                    1
trial                    7
trials                   3
trick:                   1
tried                    2
trigger                  1
trillion                 1
trips                    1
trough                   1
troy                     1
truck                    1
true                     2
truly                    3
trying                   5
tube                     3
tubing                   11
tuesday                  1
tuesdays                 1
tumor                    3
tumour                   2
tumour-selective         2
tumours                  4
tune                     1
turbulent                1
turkey                   1
turkish                  1
turn                     3
turnaround               2
turned                   2
turning                  1
turnover                 1
tv                       1
tvis                     1
twenty-fifth             1
twice                    3
twilight                 2
twin                     2
twist                    1
twisted                  1
twitter                  1
two                      35
two-dimensional          1
tyler                    1
type                     1
types                    2
typical                  1
typically                1
u-m                      5
u.k.                     2
u.s.                     11
uc                       6
uk                       1
ulcers                   1
ultimately               1
ultra-sensitive          1
ultraviolet              1
unable                   1
unaccounted              1
unannounced              1
unanswered               1
unclear                  1
unconfirmed              1
uncover                  2
uncovered                2
uncultured               1
under                    9
undergo                  2
understand               7
understanding            8
understood               3
underwater               1
unemployment             1
unequal                  1
unexplained              3
unfertilised             2
unfortunate              1
unintended               1
unions                   1
unique                   5
united                   1
universe                 1
universities             1
university               25
unknown                  1
unleashes                1
unless                   3
unlike                   3
unloaded                 1
unmask                   1
unnamed                  1
unprecedented            4
unravel                  1
unravelling              2
unrealized               1
unreleased               4
unscathed                1
until                    3
untreated                1
unusual                  5
uottawa                  2
up                       20
upsets                   1
upstream                 2
upward                   1
us                       8
usa                      2
usage                    1
use                      23
used                     18
useful                   3
users                    7
uses                     5
using                    15
usually                  2
utility                  1
va                       1
vaccine                  12
vaccines                 3
vaccinia                 1
validation               1
valley                   1
valuable                 1
value                    4
value:                   1
values                   2
vancomycin               1
vandenberg               2
various                  2
vdi                      3
vegas                    1
vegetation               1
vehicle                  5
vehicles                 3
veins                    1
velocities               1
venerable                1
venture                  1
verify                   1
verizon                  2
versatile                1
very                     18
veteran                  1
via                      4
vibrate                  1
vibrations               1
victoria                 4
video                    12
vienna                   1
view                     3
viewed                   3
viirs                    2
violate                  1
violates                 1
violating                1
violence                 1
viral                    5
virtual                  4
virtualization           12
virtualized              4
virus                    10
viruses                  5
visible                  2
visible-light            1
visible/infrared         1
vision                   5
visit                    1
visited                  2
visual                   4
vital                    1
vitro-fertilisation      1
vmware                   1
vmworld                  3
voice                    4
void                     1
volcanic                 1
vowed                    1
vulnerability            1
vulnerable               2
w.m                      1
waged                    1
waiting                  1
wall                     1
wallower                 1
walls                    1
walter                   1
wang                     1
want                     8
wanted                   1
wants                    1
warm                     2
warmest                  1
warming                  5
warner                   1
warnings                 1
warrant                  1
was                      81
washington               5
wasnt                    1
wastage                  1
watched                  1
watching                 1
water                    32
water:                   1
watershed                1
wave                     2
wavelengths              4
waverider-type           1
waves                    6
way                      14
ways                     2
we                       78
weaker                   1
weapon                   1
wear                     2
wearing                  1
weather                  7
web                      2
wed                      1
wednesday                1
week                     7
weekly                   1
weeks                    5
weigh                    2
weighing                 1
weight                   1
well                     13
well-built               1
well-known               3
well-organized           1
well-preserved           1
went                     3
were                     44
werent                   2
wet                      2
weve                     7
whale                    6
whales                   18
what                     30
whatever                 1
whats                    4
when                     27
where                    19
whether                  3
which                    53
while                    17
whim                     1
whispernet               1
whispernet:              1
whispersync              2
who                      35
whole                    5
whos                     2
why                      12
why:                     1
wi-fi                    4
wide                     3
wide-field               1
widely                   3
widespread               1
wikileaks                1
wilan                    10
wilans                   3
wild                     2
will                     50
william                  1
willing                  1
window                   2
windows                  11
wing                     1
winged                   1
wings                    2
winning                  1
wins                     1
wired                    1
wireless                 9
wise                     13
wises                    1
wishful                  1
with                     123
within                   6
without                  8
wonder                   1
wondering                1
wont                     1
wood                     1
word                     1
words                    1
work                     12
worked                   1
workers                  1
working                  10
works                    1
world                    12
world-first              2
worlds                   2
worldwide                2
worse                    1
worst-kept               1
would                    40
wouldnt                  2
wove                     1
woyke                    2
wreaks                   1
wright                   3
wrote                    3
wyse                     2
x-                       1
x-class                  1
x-ray                    8
x-rays                   6
y                        9
yates                    1
year                     17
years                    36
yes                      1
yesterday                2
yet                      8
yeung                    1
yield                    1
yielded                  1
york                     5
you                      17
young                    6
younger                  2
your                     6
youre                    6
ys                       2
yukon                    1
zauderer                 2
zauderers                1
zdnets                   1
zhao                     1
zinc                     2
zone                     2
zuckerberg               1
